ID,PRODUCT,amenities,anal,BDSM,femenino,masculino,juguetes,lenceria,muebles
169,MINI+ de amantis,False,False,False,False,False,True,False,False
170,RABBIT CLASSIC,False,False,False,True,False,True,True,False
171,CLIN_CLIN,False,False,False,False,False,False,False,False
173,LABRADORA,False,False,True,True,False,True,False,False
174,ARMOUR ALAS,False,False,True,False,False,False,False,False
176,MiNube Boy TORNADO,False,False,False,False,False,False,False,False
177,BASIC,False,False,False,False,False,False,False,False
179,Columpio sexual de amantis,False,False,True,False,False,False,False,True
180,VÏVVE,True,False,False,False,True,True,False,False
181,Pro Anal GROSSO,True,True,False,False,False,False,False,False
182,LATTE,True,True,False,True,False,True,False,False
183,SUMISE Esposas suaves inmovilizadoras de muñeca,False,False,True,False,False,False,False,False
184,INTENSSE HOT RABBIT,False,False,False,True,False,True,False,False
186,ZUMBA,False,False,False,True,False,True,False,False
187,OHLALÁ SISMIC,False,False,False,False,False,False,False,False
188,ADA,False,False,False,False,False,False,False,False
189,SPIDER,False,False,True,False,False,False,True,False
190,SÜABE,False,False,True,False,False,False,False,False
192,Jaula de placer,False,False,False,False,False,False,False,False
193,MARATON MAN,False,False,True,True,True,True,False,False
194,AMADOR,False,False,False,True,False,True,False,False
195,MASC III,False,False,True,False,False,False,False,False
196,SEVEN,False,False,False,True,True,False,False,False
197,Medias rejilla con diferentes tamaños de rejilla,False,False,False,False,False,False,True,False
198,GRR! Kit de inmovilización sexual muñecas + tobillos y antifaz,False,False,False,False,False,False,False,False
199,Pendientes para pezones con cadenitas doradas,False,False,False,False,False,False,False,False
200,COLIBRÍ,False,False,False,False,False,False,False,False
201,Glup! Dildo LIZO de silicona,True,False,True,True,False,True,False,False
202,NINA,True,False,False,True,False,True,True,False
203,Mordaza con bola maciza de suave silicona roja o negra,False,False,True,False,False,False,False,False
204,BLACKPACK,False,False,True,False,False,False,False,False
205,Medias rejilla con diferentes tamaños de rejilla,False,False,False,False,False,False,True,False
206,PRO ANAL THAI,False,True,False,False,False,True,False,False
207,TENTA,True,False,False,True,False,False,False,False
208,DOLCE GOSTO,True,False,False,True,False,True,False,False
209,FLOW,False,False,False,False,False,False,True,False
210,Plumi_pendientes amantis para pezones,False,False,False,False,False,False,False,False
211,AVATAR TESTA,False,False,True,True,False,True,False,False
212,COLUMN,False,False,True,False,False,False,False,False
213,GLADIUS Dildo realista con empuñadura ¡Desenfunda tu arma!,True,True,False,True,False,True,False,False
214,Arnés sexual VLAST,False,False,True,True,False,True,False,False
215,DIAMOND,False,False,False,False,False,False,True,False
216,Anilla regulable Black Line de amantis ¡Ideal Beginners!,False,False,True,False,False,False,False,False
217,SHIBI,False,False,True,False,False,False,False,False
218,Gran dildo de bolas ANAL PROGRESS,True,True,False,True,False,True,False,False
221,TUHINGA,False,False,False,False,False,False,True,False
223,LATHI,False,False,False,False,False,False,True,False
224,ANILLO SUAVISSIMO,False,False,False,False,True,False,True,False
225,CÓGEME_FUERTE,False,False,True,True,False,False,False,False
227,MiNube Boy MIEL,False,False,False,False,False,False,False,False
228,LA BOMBA,True,False,False,False,False,False,False,False
229,BODY CHAIN NIPPLES,False,False,False,False,False,False,True,False
231,SQUIZZE,False,False,False,True,False,True,False,False
232,YOURS,False,False,True,False,False,False,False,False
233,PLEXO,False,False,True,False,True,False,False,False
234,Desliz! Chocolate,True,False,False,False,False,False,False,False
235,POP_PLUG,False,True,False,False,False,True,False,False
236,Desliz! CALOR,True,True,False,False,False,False,False,False
237,BOCATTO,False,False,True,False,False,False,False,False
238,Cinta de 1,False,False,True,False,False,False,False,False
239,Mini dildo realista,False,True,False,False,False,False,False,False
240,Bolas tailandesas de silicona Black Line de amantis,True,True,False,True,False,False,False,False
241,Conjunto de Perlas de amantis,True,False,False,True,False,False,True,False
242,BIGGER,True,False,False,False,False,False,False,False
243,MUSCULAR XL,False,False,False,False,False,False,False,False
244,MiNube Boy LONGO,False,False,False,False,False,False,False,False
245,LIBÉL,True,True,False,True,False,False,False,False
246,Doble anilla de amantis,False,False,False,False,False,False,False,False
247,DISCO PLUG,True,True,False,False,False,True,False,False
248,PANORAMA,False,False,False,True,False,True,False,False
249,ICE ICE BABY,True,True,True,True,True,True,False,False
250,LIGHT MY FIRE,True,True,True,True,True,True,False,False
251,KITOKO,False,False,False,False,False,False,True,False
252,Pantis de rejilla amantis Mod,False,False,False,False,False,False,True,False
253,SWAN,False,False,False,True,False,True,False,False
254,BOMBONS,False,False,True,False,False,False,False,False
255,CHAINY Esposas bondage de cadenas de metal,False,False,True,False,False,False,False,False
256,BONDY DOBLE,False,False,True,False,False,False,False,False
257,MASC I,False,False,True,False,False,False,False,False
258,VENDATTA,False,False,False,False,False,False,False,False
259,AMAZONE PELOUSSE,False,False,False,False,False,False,False,False
260,Cadena para pezones ajustable con 17 cascabeles,False,False,False,False,False,False,False,False
261,PosicionadorPerrito Style,False,True,True,True,False,False,True,False
262,Collar y esposas,False,False,True,False,False,False,False,False
263,Mordaza de argolla con pinzas para pezones,False,False,True,False,False,False,True,False
264,Funda Extensora Torbellino de amantis ¡Auméntate!,True,False,False,False,False,False,False,False
265,Jaula de Castidad Masculina LIGERA,False,False,False,False,True,False,False,False
266,AVATAR NAUGHTY – Discreto,True,True,True,True,False,True,False,False
267,AVATAR CHUBBY FLESH,False,False,True,True,False,True,False,True
268,DURAMAS,False,False,False,False,False,False,False,False
269,COPPERTO,True,False,False,False,False,False,False,False
270,SUCCIÓN PROFUNDA,True,False,False,False,False,False,False,False
271,SAMOYEDA,False,False,True,True,False,True,True,False
272,CLASSY TRIO,True,True,False,False,False,True,False,False
273,PISCIS,True,True,False,False,False,True,False,False
274,METAL BEADS,False,True,False,False,False,True,False,False
275,VANISH AUTO,False,True,False,True,False,True,False,False
276,VULVANIC PRO,False,False,False,True,False,True,False,False
277,ZASLOVER,False,False,True,False,False,False,False,False
278,KONTXA,False,False,False,True,False,True,False,False
279,Desliz! Piña Colada,True,False,False,False,False,False,False,False
280,Desliz! FRÍO,True,False,False,False,False,False,False,False
281,CEGATTI,False,False,False,False,False,False,False,False
282,Pendientes para pezones con aros,False,False,False,False,False,False,False,False
283,ANETTO,False,True,False,True,False,True,False,False
284,Trío de bolas anales de silicona Black Line,False,True,False,False,False,False,False,False
285,PERIANELO,False,False,False,False,True,False,False,False
286,Arnés Fetish en forma de I,False,False,True,False,False,False,True,False
287,PEARL,True,False,False,True,False,True,False,False
288,ORIGASMI,True,False,False,True,False,False,False,False
289,TRIPLET,True,False,False,False,False,True,False,False
290,AVATAR CABALLERO – un galán en toda regla,False,False,True,True,False,True,False,False
291,LOCOMOTION clit,False,False,False,True,False,True,False,False
292,SQUISHI MARBLE BALLS,True,False,False,False,False,False,False,False
293,GOOD BOY,True,True,True,True,False,True,False,False
294,TANDEM JUICE,True,False,True,True,False,False,False,False
295,WAU Dildo doble para penetración y estimulación simultánea,False,False,False,True,False,True,False,False
296,POWER UP,True,False,False,False,False,False,False,False
297,DONATTO,False,False,False,False,True,True,False,False
298,VIVA,False,False,False,False,False,False,True,False
299,Pantis de rejilla amantis Mod,False,False,False,False,False,False,True,False
300,JUSTISSE PRINCE,False,False,True,False,False,False,True,False
301,Kit de inmovilización para puerta de amantis,False,False,False,False,False,False,False,False
302,Cinta de bondage de amantis,False,False,True,False,False,False,False,False
303,Pala de azote con tachuelas de 30 cm,False,False,True,False,False,False,False,False
304,Pluma para caricias eróticas con aplicador,False,False,False,False,False,False,False,False
305,Kit de inmovilización de amantis Hogtie_Fácil,False,False,False,False,False,False,False,False
306,Pala de azote Bitch,False,False,False,False,False,False,False,False
307,MAJETE,True,False,True,True,False,True,False,False
308,Body_arnés de cuero y tachuelas KINK de amantis,False,False,False,False,False,False,True,False
309,CatSuit Angelina,False,False,False,True,False,False,True,False
310,AVATAR PREDATOR,True,False,True,True,False,True,False,False
311,Arnés Braguita Universal amantis,False,False,True,True,True,True,False,False
312,Pluma XL de amantis,False,False,False,False,False,False,False,False
313,JUSTISSE PET de amantis ¿estética o sumisión?,False,False,True,False,False,False,True,False
314,TALISMAN,True,True,False,True,False,True,False,False
315,GRASSHOPPER,True,False,False,True,False,False,False,False
