ID,ID_PRODUCT,REGULAR_PRICE,DISCOUNT_PRICE
148,148,24.99,19.99
149,149,59.99,39.99
150,150,139.99,76.99
151,151,99.99,44.99
152,152,49.99,19.99
153,153,129.99,69.99
154,154,99.99,59.99
155,155,19.99,6.99
156,156,39.99,22.99
157,157,34.99,6.99
158,158,24.99,4.99
159,159,49.99,20.99
160,160,59.99,44.99
161,161,59.99,44.99
162,162,24.99,5.99
163,163,24.99,4.99
164,164,69.99,39.99
165,165,89.99,49.99
166,166,49.99,22.99
167,167,19.99,14.99
168,168,14.99,5.99
169,169,24.99,11.99
170,170,29.99,14.99
171,171,19.99,6.99
172,172,49.99,24.99
173,173,29.99,14.99
174,174,99.99,89.99
175,175,9.99,7.99
176,176,19.99,6.99
177,177,49.99,19.99
178,178,59.99,44.99
179,179,19.99,7.99
180,180,39.99,24.99
181,181,39.99,14.99
182,182,119.99,59.99
183,183,59.99,29.99
185,185,14.99,11.99
186,186,19.99,9.99
187,187,39.99,22.99
188,188,29.99,11.99
189,189,44.99,19.99
190,190,24.99,9.99
191,191,29.99,5.99
192,192,29.99,7.99
194,194,119.99,69.99
195,195,24.99,4.99
196,196,49.99,24.99
197,197,39.99,17.99
198,198,49.99,19.99
199,199,29.99,14.99
200,200,39.99,24.99
203,203,29.99,17.99
204,204,12.99,6.99
205,205,11.99,9.99
206,206,24.99,19.99
207,207,24.99,2.99
208,208,29.99,10.99
209,209,24.99,5.99
210,210,34.99,14.99
211,211,29.99,19.99
212,212,69.99,54.99
213,213,29.99,17.99
214,214,44.99,24.99
215,215,19.99,6.99
217,217,89.99,39.99
218,218,74.99,39.99
219,219,24.99,9.99
220,220,109.99,49.99
221,221,89.99,64.99
222,222,59.99,15.99
223,223,19.99,9.99
224,224,29.99,6.99
225,225,24.99,9.99
226,226,29.99,6.99
227,227,29.99,19.99
228,228,49.99,26.99
229,229,69.99,24.99
230,230,59.99,29.99
231,231,79.99,44.99
232,232,19.99,9.99
233,233,49.99,29.99
234,234,19.99,9.99
235,235,99.99,49.99
236,236,399.99,250.0
237,237,39.99,14.99
238,238,59.99,39.99
239,239,29.99,14.99
240,240,119.99,69.99
241,241,19.99,9.99
242,242,54.99,29.99
243,243,89.99,64.99
244,244,499.99,249.99
245,245,119.99,69.99
246,246,19.99,5.99
247,247,44.99,17.99
248,248,39.99,23.99
249,249,69.99,49.99
250,250,49.99,24.99
251,251,11.99,7.99
252,252,119.99,54.99
253,253,39.99,13.99
254,254,89.99,64.99
255,255,69.99,59.99
256,256,49.99,29.99
257,257,79.99,34.99
258,258,14.99,7.99
259,259,29.99,9.99
260,260,16.99,6.99
261,261,19.99,9.99
262,262,14.99,2.99
263,263,11.99,3.99
264,264,39.99,17.99
265,265,19.99,6.99
